src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
7,54,44.0,1,0,1,16,15.0
7,64,24.0,2,0,1,2,1.0
7,71,42.0,1,0,1,2,1.0
7,72,50.0,0,2,1,13,12.0
7,73,27.0,2,2,1,4,3.0
7,75,54.0,2,2,1,15,14.0
7,77,33.0,0,0,1,14,13.0
7,83,39.0,2,0,1,4,3.0
7,91,31.0,2,2,1,8,7.0
7,94,0.0,2,2,1,24,23.0
8,17,34.0,2,0,1,8,7.0
9,3,78.0,2,1,1,2,1.0
9,16,58.0,1,0,1,6,5.0
9,20,20.0,0,2,1,5,4.0
9,26,29.0,2,0,1,24,23.0
9,44,77.0,0,2,1,3,2.0
9,51,69.0,1,2,1,11,10.0
9,52,63.0,0,1,1,2,1.0
9,71,11.0,2,1,1,18,17.0
9,72,63.0,2,2,1,15,14.0
9,75,38.0,1,0,1,2,1.0
9,78,65.0,1,0,1,2,1.0
9,80,28.0,1,0,1,10,9.0
9,87,44.0,0,1,1,12,11.0
9,91,66.0,0,2,1,9,8.0
10,3,54.0,2,0,1,3,2.0
10,19,1.0,1,0,1,5,4.0
10,20,77.0,1,2,1,3,2.0
10,26,66.0,0,2,1,2,1.0
10,33,20.0,1,0,1,2,1.0
10,34,75.0,0,0,1,2,1.0
10,39,25.0,1,0,1,2,1.0
10,58,14.0,0,1,1,10,9.0
10,60,5.0,0,1,1,8,7.0
10,61,27.0,1,1,1,14,13.0
10,62,13.0,2,0,1,9,8.0
10,79,58.0,1,1,1,6,5.0
10,82,45.0,0,2,1,12,11.0
10,84,64.0,1,0,1,13,12.0
10,92,22.0,1,1,1,2,1.0
11,7,69.0,1,1,2,4,6.0
11,25,78.0,0,0,1,2,1.0
11,39,75.0,1,1,2,3,3.0
12,2,49.0,2,1,1,10,9.0
12,3,52.0,1,2,1,3,2.0
12,8,59.0,2,0,1,15,14.0
12,15,38.0,1,2,1,2,1.0
12,17,2.0,1,0,1,2,1.0
12,20,55.0,0,2,1,2,1.0
12,38,55.0,1,0,1,17,16.0
12,39,78.0,1,1,1,2,1.0
12,45,27.0,2,0,1,22,21.0
12,52,30.0,1,2,1,8,7.0
12,70,28.0,1,1,1,2,1.0
12,90,60.0,0,0,1,18,17.0
12,92,39.0,0,0,1,13,12.0
12,95,6.0,0,0,1,21,20.0
12,96,78.0,2,1,1,2,1.0
12,97,42.0,1,0,1,10,9.0
13,5,40.0,2,2,1,18,17.0
13,8,22.0,1,0,1,2,1.0
13,10,42.0,1,1,1,11,10.0
13,25,63.0,2,0,1,2,1.0
13,26,58.0,2,0,1,2,1.0
13,27,2.0,2,0,1,6,5.0
13,51,0.0,1,2,1,3,2.0
13,55,75.0,0,0,1,5,4.0
13,57,77.0,1,0,1,3,2.0
13,67,15.0,0,2,1,3,2.0
13,70,68.0,1,2,1,9,8.0
