src,dst,spec,core_src,core_dst,#core,used_slot,tfk_slot
43,66,35.0,1,1,1,8,7.0
43,70,24.0,2,1,1,4,3.0
43,82,12.0,1,1,1,2,1.0
43,97,69.0,0,0,1,9,8.0
43,99,48.0,1,0,1,2,1.0
44,15,54.0,0,1,2,6,9.0
44,54,5.0,0,1,1,2,1.0
45,1,62.0,2,0,1,18,17.0
45,14,19.0,1,1,2,3,3.0
45,19,22.0,1,1,2,2,2.0
45,33,32.0,1,0,1,10,9.0
45,54,2.0,1,0,1,13,12.0
45,57,31.0,2,1,1,11,10.0
45,58,56.0,0,1,1,3,2.0
45,61,55.0,1,0,2,7,11.0
45,63,0.0,0,2,1,22,21.0
45,64,69.0,0,2,1,11,10.0
45,66,69.0,1,0,1,3,2.0
46,33,27.0,0,0,3,2,3.0
46,82,9.0,0,2,1,18,17.0
47,5,12.0,1,1,2,2,1.0
47,7,65.0,2,1,1,7,6.0
47,8,63.0,2,2,1,2,1.0
47,15,0.0,2,1,1,3,2.0
47,17,20.0,2,2,1,17,16.0
47,25,67.0,0,0,1,13,12.0
47,28,7.0,2,2,1,5,4.0
47,36,55.0,0,2,1,7,6.0
47,98,14.0,0,0,1,9,8.0
48,3,65.0,0,0,1,5,4.0
48,9,65.0,1,1,1,8,7.0
48,13,27.0,1,2,1,10,9.0
48,22,78.0,1,1,1,2,1.0
48,34,78.0,0,2,1,2,1.0
48,39,41.0,0,1,1,22,21.0
48,41,7.0,1,0,1,9,8.0
48,44,75.0,1,0,1,3,2.0
48,63,58.0,2,1,1,8,7.0
48,74,18.0,2,0,1,20,19.0
48,80,23.0,0,0,1,7,6.0
48,81,19.0,1,1,1,3,2.0
49,21,34.0,0,2,1,8,7.0
49,90,46.0,2,2,1,21,20.0
50,6,61.0,2,1,1,10,9.0
50,14,41.0,1,1,1,3,2.0
50,16,53.0,1,0,1,7,6.0
50,17,0.0,1,0,1,7,6.0
50,23,44.0,2,1,1,17,16.0
50,26,11.0,2,1,1,15,14.0
50,29,26.0,2,0,1,18,17.0
50,30,3.0,0,0,1,11,10.0
50,31,71.0,2,0,1,9,8.0
50,61,19.0,1,1,1,8,7.0
50,71,44.0,1,0,1,9,8.0
50,76,27.0,1,2,1,14,13.0
50,78,15.0,0,2,1,22,21.0
50,97,51.0,0,0,1,14,13.0
51,1,44.0,2,2,1,11,10.0
51,5,22.0,0,2,1,2,1.0
51,9,53.0,1,2,1,2,1.0
51,22,49.0,0,2,1,13,12.0
51,27,10.0,2,1,1,10,9.0
51,32,41.0,1,0,1,9,8.0
51,35,4.0,0,0,1,18,17.0
51,38,67.0,1,2,1,9,8.0
51,40,67.0,2,0,1,13,12.0
51,41,62.0,0,2,1,2,1.0
51,48,30.0,1,0,1,11,10.0
51,53,78.0,1,1,1,2,1.0
51,67,31.0,2,2,1,13,12.0
51,69,72.0,0,0,1,6,5.0
